true_pos,obs_pos,true_var
103,105,16
103,105,16
103,105,16
103,105,16
103,105,16
103,105,16
103,105,16
103,105,16
103,105,16
103,105,16
103,105,16
103,105,16
103,105,16
103,105,16
103,105,16
103,105,16
103,105,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,72,16
103,82,16
103,82,16
103,82,16
103,82,16
103,82,16
103,82,16
103,82,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,115,16
103,115,16
103,115,16
103,115,16
103,115,16
103,115,16
103,115,16
103,115,16
103,115,16
103,115,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,106,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,101,16
103,98,16
103,98,16
103,98,16
103,98,16
103,98,16
103,98,16
103,98,16
103,98,16
103,98,16
103,98,16
103,98,16
103,98,16
103,98,16
133,109,16
133,109,16
133,109,16
133,109,16
133,109,16
133,109,16
133,109,16
133,109,16
133,109,16
133,151,16
133,151,16
133,151,16
133,151,16
133,151,16
133,151,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,130,16
133,126,16
133,126,16
133,126,16
133,126,16
133,126,16
133,126,16
133,126,16
133,126,16
133,152,16
133,152,16
133,152,16
133,152,16
133,152,16
133,152,16
133,119,16
133,119,16
133,119,16
133,119,16
133,119,16
133,119,16
133,119,16
133,119,16
133,119,16
133,119,16
133,119,16
133,119,16
133,119,16
133,119,16
133,146,16
133,146,16
133,146,16
133,146,16
133,146,16
133,146,16
